billing_month,household_id,contract_id,utility_bill_without_system_usd,utility_bill_with_system_usd,subscription_payment_usd,vpp_credits_usd,net_customer_value_usd,overage_kwh
2025-01,H000126,C-000126,321.14,23.5,149.08,0.0,148.56,70.29
2025-02,H000126,C-000126,297.45,20.97,149.08,0.0,127.4,59.99
2025-03,H000126,C-000126,352.42,23.05,149.08,0.0,180.29,83.89
2025-04,H000126,C-000126,373.3,22.2,149.08,0.0,202.02,92.97
2025-05,H000126,C-000126,405.08,23.07,149.08,0.0,232.93,106.79
2025-06,H000126,C-000126,372.87,21.46,149.08,0.0,202.33,92.78
2025-01,H000127,C-000127,344.38,30.6,108.88,3.82,208.72,62.42
2025-02,H000127,C-000127,325.57,27.6,108.88,2.85,191.94,54.54
2025-03,H000127,C-000127,384.44,30.18,108.88,0.0,245.38,79.2
2025-04,H000127,C-000127,390.21,29.62,108.88,3.62,255.33,81.62
2025-05,H000127,C-000127,401.57,26.05,108.88,7.53,274.17,86.38
2025-06,H000127,C-000127,370.16,22.73,108.88,9.04,247.59,73.22
2025-01,H000128,C-000128,237.02,25.9,118.88,2.57,94.81,67.7
2025-02,H000128,C-000128,225.0,26.11,118.14,1.66,82.41,60.53
2025-03,H000128,C-000128,270.16,28.01,120.89,4.49,125.75,87.49
2025-04,H000128,C-000128,286.65,28.19,121.9,5.58,142.14,97.33
2025-05,H000128,C-000128,303.79,30.12,122.94,4.06,154.79,107.57
2025-06,H000128,C-000128,281.64,25.62,121.59,3.95,138.38,94.34
2025-01,H000129,C-000129,241.01,16.15,141.49,1.8,85.17,0.0
2025-02,H000129,C-000129,238.33,15.2,141.49,4.35,85.99,0.0
2025-03,H000129,C-000129,300.14,16.34,141.49,1.27,143.58,20.77
2025-04,H000129,C-000129,301.44,13.22,141.49,6.02,152.75,21.35
2025-05,H000129,C-000129,339.67,13.48,141.49,1.28,185.98,38.24
2025-06,H000129,C-000129,315.11,10.74,141.49,5.11,167.99,27.39
2025-01,H000130,C-000130,416.89,34.26,151.66,5.45,236.42,164.45
2025-02,H000130,C-000130,404.26,31.58,151.66,1.77,222.79,157.72
2025-03,H000130,C-000130,480.99,38.9,151.66,6.31,296.74,198.64
2025-04,H000130,C-000130,475.75,40.04,151.66,7.34,291.39,195.85
2025-05,H000130,C-000130,523.59,40.97,151.66,5.5,336.46,221.36
2025-06,H000130,C-000130,497.92,31.91,151.66,1.73,316.08,207.67
2025-01,H000131,C-000131,269.69,12.19,172.39,5.41,90.52,0.0
2025-02,H000131,C-000131,254.37,8.91,172.39,4.2,77.27,0.0
2025-03,H000131,C-000131,291.0,6.39,172.39,5.79,118.01,0.0
2025-04,H000131,C-000131,280.03,2.29,172.39,8.02,113.37,0.0
2025-05,H000131,C-000131,288.98,0.7,172.39,1.44,117.33,0.0
2025-06,H000131,C-000131,264.37,0.14,172.39,4.18,96.02,0.0
2025-01,H000132,C-000132,262.88,0.0,179.37,0.0,83.51,0.0
2025-02,H000132,C-000132,271.71,0.0,180.0,0.0,91.71,3.53
2025-03,H000132,C-000132,316.8,0.0,183.49,0.0,133.31,23.14
2025-04,H000132,C-000132,340.86,0.0,185.35,0.0,155.51,33.6
2025-05,H000132,C-000132,375.71,0.0,188.05,0.0,187.66,48.75
2025-06,H000132,C-000132,345.44,0.0,185.71,0.0,159.73,35.59
2025-01,H000133,C-000133,268.01,31.63,166.39,0.0,69.99,51.08
2025-02,H000133,C-000133,243.6,27.28,166.39,0.0,49.93,40.85
2025-03,H000133,C-000133,278.07,29.9,166.39,0.0,81.78,55.29
2025-04,H000133,C-000133,299.89,32.29,166.39,0.0,101.21,64.43
2025-05,H000133,C-000133,299.33,27.23,166.39,0.0,105.71,64.19
2025-06,H000133,C-000133,287.78,25.94,166.39,0.0,95.45,59.36
2025-01,H000134,C-000134,176.73,5.74,128.84,0.0,42.15,17.31
2025-02,H000134,C-000134,169.99,5.37,128.84,0.0,35.78,13.29
2025-03,H000134,C-000134,213.14,5.77,128.84,0.0,78.53,39.05
2025-04,H000134,C-000134,222.38,4.22,128.84,0.0,89.32,44.56
2025-05,H000134,C-000134,232.15,2.31,128.84,0.0,101.0,50.4
2025-06,H000134,C-000134,231.88,2.49,128.84,0.0,100.55,50.24
2025-01,H000135,C-000135,219.47,27.28,205.61,3.71,-9.71,43.58
2025-02,H000135,C-000135,214.81,28.2,205.34,2.75,-15.98,41.52
2025-03,H000135,C-000135,263.54,38.9,208.16,3.8,20.28,63.06
2025-04,H000135,C-000135,275.64,36.1,208.86,2.4,33.08,68.4
2025-05,H000135,C-000135,292.85,38.03,209.86,3.96,48.92,76.01
2025-06,H000135,C-000135,277.52,35.12,208.97,1.73,35.16,69.23
2025-01,H000136,C-000136,349.59,63.44,101.49,0.0,184.66,98.37
2025-02,H000136,C-000136,339.39,68.33,101.49,0.0,169.57,93.89
2025-03,H000136,C-000136,401.15,78.8,101.49,0.0,220.86,121.04
2025-04,H000136,C-000136,426.82,75.32,101.49,0.0,250.01,132.32
2025-05,H000136,C-000136,445.57,74.01,101.49,0.0,270.07,140.56
2025-06,H000136,C-000136,425.31,72.03,101.49,0.0,251.79,131.66
2025-01,H000137,C-000137,271.4,2.45,91.23,2.4,180.12,0.0
2025-02,H000137,C-000137,250.16,1.8,91.23,2.97,160.1,0.0
2025-03,H000137,C-000137,273.35,0.25,91.23,6.12,187.99,0.0
2025-04,H000137,C-000137,276.9,0.0,91.23,2.03,187.7,0.0
2025-05,H000137,C-000137,287.32,0.0,91.23,1.52,197.61,0.0
2025-06,H000137,C-000137,248.13,0.0,91.23,3.98,160.88,0.0
2025-01,H000138,C-000138,263.67,24.07,105.91,12.84,146.53,60.71
2025-02,H000138,C-000138,273.76,21.22,105.91,3.84,150.47,65.1
2025-03,H000138,C-000138,312.41,23.39,105.91,3.7,186.81,81.9
2025-04,H000138,C-000138,332.6,22.6,105.91,5.13,209.22,90.68
2025-05,H000138,C-000138,376.16,24.69,105.91,4.75,250.31,109.62
2025-06,H000138,C-000138,350.25,21.77,105.91,6.23,228.8,98.36
2025-01,H000139,C-000139,228.7,1.58,128.62,0.0,98.5,41.9
2025-02,H000139,C-000139,200.47,0.0,124.84,0.0,75.63,21.91
2025-03,H000139,C-000139,269.51,0.0,134.08,0.0,135.43,70.79
2025-04,H000139,C-000139,255.88,0.31,132.26,0.0,123.31,61.14
2025-05,H000139,C-000139,283.91,0.0,136.01,0.0,147.9,80.98
2025-06,H000139,C-000139,269.99,0.0,134.14,0.0,135.85,71.13
2025-01,H000140,C-000140,246.19,5.97,83.48,0.0,156.74,91.76
2025-02,H000140,C-000140,235.11,6.42,83.48,0.0,145.21,83.99
2025-03,H000140,C-000140,303.47,7.46,83.48,0.0,212.53,131.96
2025-04,H000140,C-000140,308.19,4.41,83.48,0.0,220.3,135.27
2025-05,H000140,C-000140,331.12,3.94,83.48,0.0,243.7,151.36
2025-06,H000140,C-000140,331.06,3.88,83.48,0.0,243.7,151.32
2025-01,H000141,C-000141,237.75,22.01,205.58,0.0,10.16,20.41
2025-02,H000141,C-000141,243.04,19.84,205.58,0.0,17.62,22.75
2025-03,H000141,C-000141,284.08,22.39,205.58,0.0,56.11,40.89
2025-04,H000141,C-000141,305.54,21.86,205.58,0.0,78.1,50.37
2025-05,H000141,C-000141,337.19,21.84,205.58,0.0,109.77,64.36
2025-06,H000141,C-000141,301.32,19.93,205.58,0.0,75.81,48.51
2025-01,H000142,C-000142,303.0,9.45,185.27,6.51,114.79,61.37
2025-02,H000142,C-000142,323.42,9.17,186.34,3.49,131.4,72.26
2025-03,H000142,C-000142,379.84,10.32,189.29,9.42,189.65,102.35
2025-04,H000142,C-000142,400.12,9.12,190.35,3.4,204.05,113.17
2025-05,H000142,C-000142,433.83,7.84,192.11,1.88,235.76,131.15
2025-06,H000142,C-000142,406.9,6.27,190.71,0.0,209.92,116.79
2025-01,H000143,C-000143,212.62,17.72,86.02,5.16,114.04,13.7
2025-02,H000143,C-000143,205.76,15.65,86.02,1.28,105.37,11.28
2025-03,H000143,C-000143,222.33,15.79,86.02,5.02,125.54,17.12
2025-04,H000143,C-000143,222.16,16.61,86.02,5.7,125.23,17.06
2025-05,H000143,C-000143,228.74,15.52,86.02,5.15,132.35,19.38
2025-06,H000143,C-000143,212.82,13.88,86.02,0.4,113.32,13.77
2025-01,H000144,C-000144,271.57,18.16,110.6,0.0,142.81,41.46
2025-02,H000144,C-000144,251.92,19.34,110.6,0.0,121.98,32.92
2025-03,H000144,C-000144,327.1,26.49,110.6,0.0,190.01,65.6
2025-04,H000144,C-000144,357.56,27.95,110.6,0.0,219.01,78.85
2025-05,H000144,C-000144,369.62,24.3,110.6,0.0,234.72,84.09
2025-06,H000144,C-000144,329.39,16.38,110.6,0.0,202.41,66.6
2025-01,H000145,C-000145,227.25,10.54,162.94,5.84,59.61,77.72
2025-02,H000145,C-000145,231.49,8.17,162.94,4.81,65.19,80.73
2025-03,H000145,C-000145,256.13,7.75,162.94,3.72,89.16,98.17
2025-04,H000145,C-000145,275.87,6.41,162.94,5.02,111.54,112.15
2025-05,H000145,C-000145,279.3,2.97,162.94,5.22,118.61,114.57
2025-06,H000145,C-000145,252.52,1.36,162.94,2.4,90.62,95.62
2025-01,H000146,C-000146,170.12,6.51,152.89,0.0,10.72,25.06
2025-02,H000146,C-000146,174.26,9.77,152.89,0.0,11.6,27.54
2025-03,H000146,C-000146,210.55,9.61,152.89,0.0,48.05,49.2
2025-04,H000146,C-000146,216.84,6.32,152.89,0.0,57.63,52.96
2025-05,H000146,C-000146,230.34,8.16,152.89,0.0,69.29,61.02
2025-06,H000146,C-000146,233.2,4.42,152.89,0.0,75.89,62.72
2025-01,H000147,C-000147,236.29,33.14,166.91,0.0,36.24,23.46
2025-02,H000147,C-000147,228.69,37.72,166.91,0.0,24.06,20.1
2025-03,H000147,C-000147,298.41,51.26,166.91,0.0,80.24,50.91
2025-04,H000147,C-000147,291.69,45.6,166.91,0.0,79.18,47.94
2025-05,H000147,C-000147,324.67,46.68,166.91,0.0,111.08,62.52
2025-06,H000147,C-000147,297.77,39.68,166.91,0.0,91.18,50.63
2025-01,H000148,C-000148,273.19,42.02,117.35,0.0,113.82,99.05
2025-02,H000148,C-000148,288.03,51.0,117.35,0.0,119.68,106.96
2025-03,H000148,C-000148,370.01,63.62,117.35,0.0,189.04,150.69
2025-04,H000148,C-000148,381.28,63.93,117.35,0.0,200.0,156.7
2025-05,H000148,C-000148,398.56,67.58,117.35,0.0,213.63,165.91
2025-06,H000148,C-000148,397.56,65.02,117.35,0.0,215.19,165.38
2025-01,H000149,C-000149,239.35,13.99,197.26,2.56,30.66,0.0
2025-02,H000149,C-000149,215.46,10.48,197.26,3.75,11.47,0.0
2025-03,H000149,C-000149,255.46,10.29,197.26,4.22,52.13,0.0
2025-04,H000149,C-000149,248.6,6.29,197.26,9.39,54.44,0.0
2025-05,H000149,C-000149,246.47,2.33,197.26,2.96,49.84,0.0
2025-06,H000149,C-000149,222.57,0.72,197.26,7.92,32.51,0.0
2025-01,H000150,C-000150,263.89,7.83,141.5,1.93,116.49,9.77
2025-02,H000150,C-000150,256.75,5.01,140.91,6.49,117.32,6.66
2025-03,H000150,C-000150,317.77,6.94,145.9,3.81,168.74,33.19
2025-04,H000150,C-000150,351.31,5.93,148.64,4.53,201.27,47.78
2025-05,H000150,C-000150,367.08,3.19,149.93,9.16,223.12,54.63
2025-06,H000150,C-000150,338.95,0.97,147.63,6.35,196.7,42.4
2025-01,H000151,C-000151,355.28,14.26,140.03,0.0,200.99,153.25
2025-02,H000151,C-000151,340.12,12.88,140.03,0.0,187.21,142.51
2025-03,H000151,C-000151,368.59,14.05,140.03,0.0,214.51,162.67
2025-04,H000151,C-000151,383.69,13.49,140.03,0.0,230.17,173.36
2025-05,H000151,C-000151,392.07,12.5,140.03,0.0,239.54,179.29
2025-06,H000151,C-000151,360.88,10.63,140.03,0.0,210.22,157.21
2025-01,H000152,C-000152,273.87,9.64,182.23,0.0,82.0,85.09
2025-02,H000152,C-000152,270.74,8.37,181.99,0.0,80.38,82.89
2025-03,H000152,C-000152,311.12,7.29,185.05,0.0,118.78,111.23
2025-04,H000152,C-000152,347.91,7.78,187.84,0.0,152.29,137.05
2025-05,H000152,C-000152,365.74,5.08,189.19,0.0,171.47,149.56
2025-06,H000152,C-000152,326.42,1.51,186.21,0.0,138.7,121.97
2025-01,H000153,C-000153,222.38,22.06,123.01,9.66,86.97,25.72
2025-02,H000153,C-000153,211.64,19.88,122.38,0.9,70.28,20.97
2025-03,H000153,C-000153,268.19,22.02,125.7,1.95,122.42,45.96
2025-04,H000153,C-000153,291.73,21.3,127.09,0.64,143.98,56.37
2025-05,H000153,C-000153,310.33,22.01,128.18,5.99,166.13,64.59
2025-06,H000153,C-000153,288.26,20.59,126.88,1.08,141.87,54.83
2025-01,H000154,C-000154,318.2,12.13,172.11,0.0,133.96,86.76
2025-02,H000154,C-000154,332.71,10.59,172.11,0.0,150.01,94.5
2025-03,H000154,C-000154,393.19,12.89,172.11,0.0,208.19,126.75
2025-04,H000154,C-000154,405.62,12.21,172.11,0.0,221.3,133.38
2025-05,H000154,C-000154,434.42,11.83,172.11,0.0,250.48,148.74
2025-06,H000154,C-000154,413.12,10.89,172.11,0.0,230.12,137.38
2025-01,H000155,C-000155,242.55,8.37,190.32,3.05,46.91,0.0
2025-02,H000155,C-000155,226.23,5.31,190.32,3.49,34.09,0.0
2025-03,H000155,C-000155,267.79,2.86,190.32,3.75,78.36,0.0
2025-04,H000155,C-000155,254.87,0.17,190.32,4.69,69.07,0.0
2025-05,H000155,C-000155,272.26,0.12,190.32,7.82,89.64,0.0
2025-06,H000155,C-000155,236.32,0.0,190.32,2.41,48.41,0.0
2025-01,H000156,C-000156,312.23,25.94,112.18,6.58,180.69,73.16
2025-02,H000156,C-000156,286.37,22.17,112.18,7.71,159.73,61.92
2025-03,H000156,C-000156,363.77,29.12,112.18,4.95,227.42,95.57
2025-04,H000156,C-000156,385.41,25.36,112.18,4.32,252.19,104.98
2025-05,H000156,C-000156,386.15,25.08,112.18,6.15,255.04,105.3
2025-06,H000156,C-000156,387.09,22.56,112.18,3.25,255.6,105.71
2025-01,H000157,C-000157,290.1,25.16,176.91,0.0,88.03,137.34
2025-02,H000157,C-000157,273.99,21.88,174.77,0.0,77.34,125.94
2025-03,H000157,C-000157,330.41,25.22,182.28,0.0,122.91,165.88
2025-04,H000157,C-000157,320.16,18.5,180.91,0.0,120.75,158.62
2025-05,H000157,C-000157,330.5,13.82,182.29,0.0,134.39,165.94
2025-06,H000157,C-000157,301.02,10.81,178.36,0.0,111.85,145.07
2025-01,H000158,C-000158,201.8,19.84,148.77,9.04,42.23,34.08
2025-02,H000158,C-000158,192.07,18.04,148.77,8.45,33.71,28.27
2025-03,H000158,C-000158,225.99,20.68,148.77,3.46,60.0,48.52
2025-04,H000158,C-000158,235.72,19.2,148.77,2.66,70.41,54.33
2025-05,H000158,C-000158,255.04,19.84,148.77,1.11,87.54,65.86
2025-06,H000158,C-000158,250.83,18.56,148.77,0.0,83.5,63.35
2025-01,H000159,C-000159,363.25,0.0,79.68,0.0,283.57,22.79
2025-02,H000159,C-000159,354.25,0.23,79.68,0.0,274.34,19.08
2025-03,H000159,C-000159,439.98,0.0,79.68,0.0,360.3,54.43
2025-04,H000159,C-000159,458.99,0.0,79.68,0.0,379.31,62.27
2025-05,H000159,C-000159,486.09,0.0,79.68,0.0,406.41,73.44
2025-06,H000159,C-000159,484.52,0.0,79.68,0.0,404.84,72.8
2025-01,H000160,C-000160,274.09,20.97,131.25,2.51,124.38,96.93
2025-02,H000160,C-000160,293.26,26.56,131.25,1.25,136.7,107.16
2025-03,H000160,C-000160,366.71,31.72,131.25,7.74,211.48,146.33
2025-04,H000160,C-000160,384.32,34.75,131.25,1.92,220.24,155.72
2025-05,H000160,C-000160,413.18,38.65,131.25,5.58,248.86,171.12
2025-06,H000160,C-000160,383.07,28.94,131.25,2.86,225.74,155.06
2025-01,H000161,C-000161,279.36,16.0,127.4,8.06,144.02,24.58
2025-02,H000161,C-000161,253.38,14.04,127.4,8.69,120.63,15.42
2025-03,H000161,C-000161,286.65,15.6,127.4,9.3,152.95,27.15
2025-04,H000161,C-000161,285.87,14.88,127.4,1.62,145.21,26.87
2025-05,H000161,C-000161,291.69,14.43,127.4,4.84,154.7,28.92
2025-06,H000161,C-000161,258.4,11.09,127.4,2.04,121.95,17.19
2025-01,H000162,C-000162,263.92,4.81,100.09,0.0,159.02,13.63
2025-02,H000162,C-000162,258.29,4.31,100.09,0.0,153.89,11.19
2025-03,H000162,C-000162,330.29,4.83,100.09,0.0,225.37,42.49
2025-04,H000162,C-000162,332.77,2.12,100.09,0.0,230.56,43.57
2025-05,H000162,C-000162,365.14,1.59,100.09,0.0,263.46,57.64
2025-06,H000162,C-000162,352.57,0.97,100.09,0.0,251.51,52.18
2025-01,H000163,C-000163,317.69,32.5,117.72,0.0,167.47,155.93
2025-02,H000163,C-000163,292.8,26.97,117.72,0.0,148.11,138.31
2025-03,H000163,C-000163,357.19,31.1,117.72,0.0,208.37,183.89
2025-04,H000163,C-000163,357.52,25.6,117.72,0.0,214.2,184.12
2025-05,H000163,C-000163,381.44,21.94,117.72,0.0,241.78,201.06
2025-06,H000163,C-000163,343.68,19.7,117.72,0.0,206.26,174.33
2025-01,H000164,C-000164,253.72,13.92,151.95,3.85,91.7,107.85
2025-02,H000164,C-000164,242.5,12.68,151.2,5.77,84.39,99.98
2025-03,H000164,C-000164,281.39,13.9,153.79,11.1,124.8,127.27
2025-04,H000164,C-000164,307.56,13.48,155.53,7.51,146.06,145.63
2025-05,H000164,C-000164,331.81,13.85,157.15,5.27,166.08,162.65
2025-06,H000164,C-000164,338.2,14.68,157.58,3.35,169.29,167.13
2025-01,H000165,C-000165,310.55,33.73,97.36,0.0,179.46,62.67
2025-02,H000165,C-000165,304.63,31.13,97.36,0.0,176.14,60.05
2025-03,H000165,C-000165,358.67,40.19,97.36,0.0,221.12,83.93
2025-04,H000165,C-000165,361.06,36.55,97.36,0.0,227.15,84.99
2025-05,H000165,C-000165,388.23,32.29,97.36,0.0,258.58,97.0
2025-06,H000165,C-000165,372.87,30.64,97.36,0.0,244.87,90.21
2025-01,H000166,C-000166,346.23,8.35,138.18,0.0,199.7,48.51
2025-02,H000166,C-000166,348.01,9.76,138.18,0.0,200.07,49.29
2025-03,H000166,C-000166,424.9,8.42,138.18,0.0,278.3,83.09
2025-04,H000166,C-000166,424.78,4.46,138.18,0.0,282.14,83.04
2025-05,H000166,C-000166,461.75,3.5,138.18,0.0,320.07,99.29
2025-06,H000166,C-000166,415.74,0.42,138.18,0.0,277.14,79.06
2025-01,H000167,C-000167,222.61,9.12,126.94,0.0,86.55,0.0
2025-02,H000167,C-000167,199.63,6.6,126.94,0.0,66.09,0.0
2025-03,H000167,C-000167,233.9,4.15,126.94,0.0,102.81,0.0
2025-04,H000167,C-000167,244.43,3.22,126.94,0.0,114.27,0.0
2025-05,H000167,C-000167,238.84,0.59,126.94,0.0,111.31,0.0
2025-06,H000167,C-000167,214.74,0.0,126.94,0.0,87.8,0.0
2025-01,H000168,C-000168,301.35,41.86,153.81,0.0,105.68,67.46
2025-02,H000168,C-000168,299.17,39.0,153.69,0.0,106.48,66.51
2025-03,H000168,C-000168,350.23,41.86,156.34,0.0,152.03,88.71
2025-04,H000168,C-000168,362.58,41.43,156.98,0.0,164.17,94.08
2025-05,H000168,C-000168,406.47,46.64,159.25,0.0,200.58,113.17
2025-06,H000168,C-000168,384.55,36.4,158.11,0.0,190.04,103.64
2025-01,H000169,C-000169,284.35,13.39,137.12,0.0,133.84,31.21
2025-02,H000169,C-000169,256.17,10.91,137.12,0.0,108.14,19.41
2025-03,H000169,C-000169,308.5,10.74,137.12,0.0,160.64,41.33
2025-04,H000169,C-000169,305.79,6.51,137.12,0.0,162.16,40.19
2025-05,H000169,C-000169,334.29,6.24,137.12,0.0,190.93,52.13
2025-06,H000169,C-000169,311.73,4.23,137.12,0.0,170.38,42.68
2025-01,H000170,C-000170,169.05,1.32,88.06,0.0,79.67,1.03
2025-02,H000170,C-000170,173.19,1.2,88.06,0.0,83.93,3.5
2025-03,H000170,C-000170,212.83,0.35,88.06,0.0,124.42,27.16
2025-04,H000170,C-000170,220.21,0.95,88.06,0.0,131.2,31.57
2025-05,H000170,C-000170,239.09,0.11,88.06,0.0,150.92,42.84
2025-06,H000170,C-000170,237.57,0.02,88.06,0.0,149.49,41.93
2025-01,H000171,C-000171,246.35,13.31,131.77,0.0,101.27,1.03
2025-02,H000171,C-000171,249.4,13.99,131.93,0.0,103.48,2.38
2025-03,H000171,C-000171,291.26,12.98,134.09,0.0,144.19,20.88
2025-04,H000171,C-000171,306.43,12.37,134.88,0.0,159.18,27.59
2025-05,H000171,C-000171,338.7,11.78,136.55,0.0,190.37,41.85
2025-06,H000171,C-000171,302.19,9.01,134.66,0.0,158.52,25.71
2025-01,H000172,C-000172,343.07,77.32,137.54,0.0,128.21,140.51
2025-02,H000172,C-000172,351.24,83.9,137.54,0.0,129.8,144.87
2025-03,H000172,C-000172,423.47,99.88,137.54,0.0,186.05,183.39
2025-04,H000172,C-000172,451.07,102.26,137.54,0.0,211.27,198.11
2025-05,H000172,C-000172,467.52,105.48,137.54,0.0,224.5,206.88
2025-06,H000172,C-000172,458.47,102.53,137.54,0.0,218.4,202.06
2025-01,H000173,C-000173,249.79,15.29,88.96,6.17,151.71,0.0
2025-02,H000173,C-000173,223.45,12.13,88.96,7.02,129.38,0.0
2025-03,H000173,C-000173,261.01,12.4,88.96,5.44,165.09,0.0
2025-04,H000173,C-000173,246.97,8.16,88.96,3.5,153.35,0.0
2025-05,H000173,C-000173,255.19,3.69,88.96,4.88,167.42,0.0
2025-06,H000173,C-000173,224.77,3.62,88.96,3.52,135.71,0.0
2025-01,H000174,C-000174,285.28,0.0,133.58,0.0,151.7,6.55
2025-02,H000174,C-000174,290.82,0.0,133.89,0.0,156.93,8.96
2025-03,H000174,C-000174,360.84,0.0,137.85,0.0,222.99,39.4
2025-04,H000174,C-000174,380.46,0.0,138.96,0.0,241.5,47.93
2025-05,H000174,C-000174,406.33,0.0,140.42,0.0,265.91,59.18
2025-06,H000174,C-000174,374.12,0.0,138.6,0.0,235.52,45.17
2025-01,H000175,C-000175,285.02,17.54,190.02,5.61,83.07,144.14
2025-02,H000175,C-000175,282.05,18.24,189.63,7.02,81.2,142.03
2025-03,H000175,C-000175,307.36,17.73,192.94,3.19,99.88,159.95
2025-04,H000175,C-000175,340.25,17.37,197.25,5.43,131.06,183.24
2025-05,H000175,C-000175,327.7,15.76,195.6,4.28,120.62,174.35
2025-06,H000175,C-000175,297.03,13.71,191.59,0.0,91.73,152.64
2025-01,H000176,C-000176,169.86,29.05,173.38,0.0,-32.57,39.31
2025-02,H000176,C-000176,172.03,29.6,173.38,0.0,-30.95,40.6
2025-03,H000176,C-000176,224.96,43.95,173.38,0.0,7.63,72.2
2025-04,H000176,C-000176,235.68,46.1,173.38,0.0,16.2,78.6
2025-05,H000176,C-000176,231.51,39.38,173.38,0.0,18.75,76.11
2025-06,H000176,C-000176,221.76,32.96,173.38,0.0,15.42,70.29
2025-01,H000177,C-000177,247.99,55.77,130.19,6.0,68.03,61.65
2025-02,H000177,C-000177,240.29,60.61,130.19,7.14,56.63,58.25
2025-03,H000177,C-000177,285.81,71.71,130.19,4.43,88.34,78.36
2025-04,H000177,C-000177,303.96,76.92,130.19,3.97,100.82,86.39
2025-05,H000177,C-000177,329.12,87.76,130.19,1.41,112.58,97.51
2025-06,H000177,C-000177,313.16,75.78,130.19,3.97,111.16,90.45
2025-01,H000178,C-000178,348.6,42.95,112.07,0.0,193.58,97.07
2025-02,H000178,C-000178,332.35,39.87,112.07,0.0,180.41,89.93
2025-03,H000178,C-000178,416.31,54.67,112.07,0.0,249.57,126.83
2025-04,H000178,C-000178,433.2,52.36,112.07,0.0,268.77,134.26
2025-05,H000178,C-000178,465.72,55.12,112.07,0.0,298.53,148.55
2025-06,H000178,C-000178,437.09,44.75,112.07,0.0,280.27,135.97
2025-01,H000179,C-000179,231.72,16.25,177.42,6.95,45.0,17.51
2025-02,H000179,C-000179,210.42,14.77,177.42,4.21,22.44,10.0
2025-03,H000179,C-000179,260.25,15.49,177.42,5.44,72.78,27.56
2025-04,H000179,C-000179,253.48,14.32,177.42,6.03,67.77,25.18
2025-05,H000179,C-000179,257.49,14.34,177.42,5.28,71.01,26.59
2025-06,H000179,C-000179,239.99,13.18,177.42,3.41,52.8,20.42
2025-01,H000180,C-000180,264.42,4.76,170.84,5.24,94.06,14.81
2025-02,H000180,C-000180,259.29,3.56,170.51,2.14,87.36,12.58
2025-03,H000180,C-000180,327.53,3.98,174.82,2.57,151.3,42.25
2025-04,H000180,C-000180,333.17,1.73,175.17,6.93,163.2,44.7
2025-05,H000180,C-000180,369.03,0.85,177.43,3.94,194.69,60.29
2025-06,H000180,C-000180,332.09,0.16,175.1,2.7,159.53,44.23
2025-01,H000181,C-000181,370.78,46.67,168.83,6.2,161.48,97.65
2025-02,H000181,C-000181,346.92,40.28,168.83,1.84,139.65,87.66
2025-03,H000181,C-000181,390.76,40.1,168.83,7.03,188.86,106.02
2025-04,H000181,C-000181,402.83,35.42,168.83,10.48,209.06,111.08
2025-05,H000181,C-000181,421.08,33.1,168.83,4.99,224.14,118.72
2025-06,H000181,C-000181,400.16,32.16,168.83,1.33,200.5,109.96
2025-01,H000182,C-000182,175.37,4.37,207.02,0.0,-36.02,4.8
2025-02,H000182,C-000182,175.39,3.84,207.02,0.0,-35.47,4.81
2025-03,H000182,C-000182,206.13,3.3,207.02,0.0,-4.19,23.16
2025-04,H000182,C-000182,214.51,0.97,207.02,0.0,6.52,28.17
2025-05,H000182,C-000182,230.86,1.28,207.02,0.0,22.56,37.93
2025-06,H000182,C-000182,227.48,1.12,207.02,0.0,19.34,35.91
2025-01,H000183,C-000183,286.86,16.8,97.93,0.0,172.13,47.73
2025-02,H000183,C-000183,295.53,16.46,97.93,0.0,181.14,51.31
2025-03,H000183,C-000183,369.91,22.48,97.93,0.0,249.5,81.98
2025-04,H000183,C-000183,389.42,27.44,97.93,0.0,264.05,90.03
2025-05,H000183,C-000183,423.22,22.97,97.93,0.0,302.32,103.96
2025-06,H000183,C-000183,387.48,17.68,97.93,0.0,271.87,89.23
2025-01,H000184,C-000184,357.15,42.82,88.23,0.0,226.1,127.41
2025-02,H000184,C-000184,358.95,46.16,88.23,0.0,224.56,128.37
2025-03,H000184,C-000184,422.13,47.91,88.23,0.0,285.99,162.06
2025-04,H000184,C-000184,432.5,54.49,88.23,0.0,289.78,167.59
2025-05,H000184,C-000184,485.92,56.75,88.23,0.0,340.94,196.08
2025-06,H000184,C-000184,447.83,44.93,88.23,0.0,314.67,175.77
2025-01,H000185,C-000185,267.88,22.86,146.71,6.82,105.13,38.03
2025-02,H000185,C-000185,236.61,17.93,146.71,1.15,73.12,27.01
2025-03,H000185,C-000185,285.65,19.66,146.71,4.56,123.84,44.3
2025-04,H000185,C-000185,281.88,16.92,146.71,8.18,126.43,42.97
2025-05,H000185,C-000185,276.65,15.86,146.71,7.49,121.57,41.12
2025-06,H000185,C-000185,259.49,15.39,146.71,4.36,101.75,35.08
2025-01,H000186,C-000186,276.72,20.03,160.52,0.0,96.17,50.01
2025-02,H000186,C-000186,272.72,18.99,160.52,0.0,93.21,48.27
2025-03,H000186,C-000186,320.9,19.82,160.52,0.0,140.56,69.22
2025-04,H000186,C-000186,355.8,20.17,160.52,0.0,175.11,84.4
2025-05,H000186,C-000186,369.59,19.42,160.52,0.0,189.65,90.39
2025-06,H000186,C-000186,338.31,16.75,160.52,0.0,161.04,76.79
